ID	Name	DisplayName	 c.Description	Type	AssemblyName
3fab94e0-c729-49f7-a4f9-f684b383bbf1	AccountCalendarBE	AccountCalendarBE		BE	UFIDA.U9.Base.BaseBE
baae7609-e16e-431f-96c5-068f1b47d66e	AccountStandardBE	AccountStandardBE		BE	UFIDA.U9.Base.BaseBE
82355f24-43bf-4e7d-abe8-b306b929e1a2	ApplicationBE	ApplicationBE		BE	UFIDA.U9.Base.BaseBE
d885f0d7-de83-48d6-99eb-feef17c54a64	AppPortalBE	AppPortalBE		BE	UFIDA.U9.Base.BaseBE
8955d964-f9ac-44f4-b192-a10dcd396cb1	PortalOrgBE	PortalOrgBE		BE	UFIDA.U9.Base.BaseBE
5729d13f-5d02-43ee-b980-362361936307	AttachmentBE	AttachmentBE		BE	UFIDA.U9.Base.BaseBE
64f7f89b-9355-4b09-a1f6-098b483cb7bb	Base_DTO	Base_DTO		BE	UFIDA.U9.Base.BaseBE
7c5bd52a-23f2-46e6-9298-30c1c56071ab	Base_Enum	Base_Enum		BE	UFIDA.U9.Base.BaseBE
69876d24-5410-4f31-8f8c-cf5ab8276d68	Base_Exception	Base_Exception		BE	UFIDA.U9.Base.BaseBE
330fb1ad-4330-478f-99d4-7d24c826cd50	Base_PropertyType	Base_PropertyType		BE	UFIDA.U9.Base.BaseBE
c7f36004-02d4-4d98-a5c5-9059b8fd002a	Base_Validater	Base_Validater		BE	UFIDA.U9.Base.BaseBE
d66b836b-24ff-49c5-8990-731756bfc27d	ContactBE	ContactBE		BE	UFIDA.U9.Base.BaseBE
96872764-77fd-4391-a712-24eda56b5cf0	ContactRelationBE	ContactRelationBE		BE	UFIDA.U9.Base.BaseBE
c63d160d-c4a3-4696-b03b-d16dd5b01ae9	CurrencyBE	CurrencyBE		BE	UFIDA.U9.Base.BaseBE
c4bb7598-1c7a-4766-85ba-8ce6e9fdc3f1	ExchangeDefBE	ExchangeDefBE		BE	UFIDA.U9.Base.BaseBE
f8119e6b-4659-44e3-86d2-f032e67624fd	ExchangeRateBE	ExchangeRateBE		BE	UFIDA.U9.Base.BaseBE
a7c1a490-7316-48e6-98c9-5e866b18f4f4	DocBE	DocBE		BE	UFIDA.U9.Base.BaseBE
70ce9955-b9a1-41ff-8e34-b24a7bc832ee	DocTypeBE	DocTypeBE		BE	UFIDA.U9.Base.BaseBE
d2915a8b-7a67-450d-8def-fd0a67253802	PushToDocTypeConfigBE	PushToDocTypeConfigBE		BE	UFIDA.U9.Base.BaseBE
eec4e741-366d-4856-aed7-0e3a6323e42f	PushToDocTypeRuleBE	PushToDocTypeRuleBE		BE	UFIDA.U9.Base.BaseBE
35633ce2-a27d-4364-b672-a85b6a74594a	FunctionBE	FunctionBE		BE	UFIDA.U9.Base.BaseBE
474b2649-5852-4596-a007-adcfa9b04d13	DefineValueBE	DefineValueBE		BE	UFIDA.U9.Base.BaseBE
243f9cb9-6912-47c2-a0d8-41aadbd43d3c	DescCompileLogBE	DescCompileLogBE		BE	UFIDA.U9.Base.BaseBE
68e3d703-d83a-4712-b501-d336469034cf	DescControlDimensionBE	DescControlDimensionBE		BE	UFIDA.U9.Base.BaseBE
95ed6fe8-dc3e-4b6b-8f6e-1d6d1add4843	DescFlexFieldDefBE	DescFlexFieldDefBE		BE	UFIDA.U9.Base.BaseBE
7dcc209f-d805-4891-9c50-29590bd3e03f	DescFlexSegUseRuleBE	DescFlexSegUseRuleBE		BE	UFIDA.U9.Base.BaseBE
48f05b86-588a-44f3-8699-9ec492f94311	DescFlexSegValueSetValueBE	DescFlexSegValueSetValueBE		BE	UFIDA.U9.Base.BaseBE
9a64a53d-dd24-4b77-9f51-ab40e1230ff4	GlobalDescFlexSegment	GlobalDescFlexSegment		BE	UFIDA.U9.Base.BaseBE
dcfee82d-84f2-45cc-a684-9cfd1fe98fd5	KeyFlexFieldDefBE	KeyFlexFieldDefBE		BE	UFIDA.U9.Base.BaseBE
52c740a7-5152-4511-8cb3-1b18d429711b	KeyFlexFieldStruBE	KeyFlexFieldStruBE		BE	UFIDA.U9.Base.BaseBE
c2a99b23-3663-4e16-9ab8-2ca93789b1b1	KeyFlexStruCompileLogBE	KeyFlexStruCompileLogBE		BE	UFIDA.U9.Base.BaseBE
79d048f1-d624-4797-b6a6-a06c8c228a7b	ValueSetDefBE	ValueSetDefBE		BE	UFIDA.U9.Base.BaseBE
d0bff4c0-5bde-4715-95b9-586c1ab72af8	ValueSetValueConstraintBE	ValueSetValueConstraintBE		BE	UFIDA.U9.Base.BaseBE
5e466e3c-cf38-4db6-a002-91936ec2da75	CurrencyFormat	CurrencyFormat		BE	UFIDA.U9.Base.BaseBE
d7d468f0-d951-48a0-90bc-4fb2da164a87	DateFormat	DateFormat		BE	UFIDA.U9.Base.BaseBE
95f35ba0-a23f-4f76-b70d-9b644c8a6694	NumberFormat	NumberFormat		BE	UFIDA.U9.Base.BaseBE
59ba4d90-41f6-448d-9c4f-9af29d8f880b	TimeFormat	TimeFormat		BE	UFIDA.U9.Base.BaseBE
ca776891-777a-4294-ac88-be7cbeb4c739	HoldReasonBE	HoldReasonBE		BE	UFIDA.U9.Base.BaseBE
802a2a4b-622e-4a60-b619-1ae656978d5e	HoldReleaseHisBE	HoldReleaseHisBE		BE	UFIDA.U9.Base.BaseBE
df94d0ad-6591-4203-a835-733ae4f0ee19	HoldReleaseRelationBE	HoldReleaseRelationBE		BE	UFIDA.U9.Base.BaseBE
f5336ff5-cac7-460d-9494-cb6e75ea1da2	ReleaseReasonBE	ReleaseReasonBE		BE	UFIDA.U9.Base.BaseBE
a9fd0c54-209e-4b93-8796-a3c1105732cd	LanguageBE	LanguageBE		BE	UFIDA.U9.Base.BaseBE
e1cebd8b-33c8-466f-8640-86d806d507f6	LanguageRegionBE	LanguageRegionBE		BE	UFIDA.U9.Base.BaseBE
c87c3302-6a8f-4b21-a473-3106f7b56aed	CityBE	CityBE		BE	UFIDA.U9.Base.BaseBE
ed2f4138-e146-4e72-b8e8-38f038d3b073	CountryBE	CountryBE		BE	UFIDA.U9.Base.BaseBE
dbbd3695-1101-466b-99a8-7fe0f7096f24	CountyBE	CountyBE		BE	UFIDA.U9.Base.BaseBE
5fa81d53-aeea-4f18-b952-59ca28847cd7	LocationBE	LocationBE		BE	UFIDA.U9.Base.BaseBE
b694bacd-347d-41a1-a0db-9c2f0610eecd	PostalCodeBE	PostalCodeBE		BE	UFIDA.U9.Base.BaseBE
2a9f5450-22bf-4735-b741-aba1644adc2e	ProvinceBE	ProvinceBE		BE	UFIDA.U9.Base.BaseBE
bd830673-b362-4d67-82fd-28153c9f2550	TerritoryBE	TerritoryBE		BE	UFIDA.U9.Base.BaseBE
c401074c-0096-47f8-ad63-4d8ea6786d8f	MemoBE	MemoBE		BE	UFIDA.U9.Base.BaseBE
838a550b-371c-4728-bf03-5239da77a6ee	OrganizationBE	OrganizationBE		BE	UFIDA.U9.Base.BaseBE
d34735a5-26dc-4a65-a108-0708c6269cb7	OrgHierarchyRelationBE	OrgHierarchyRelationBE		BE	UFIDA.U9.Base.BaseBE
c5b8a190-341d-4a02-9423-e8d81556fc21	OrgProfileControllerBE	OrgProfileControllerBE		BE	UFIDA.U9.Base.BaseBE
185a7a69-33ee-48ba-808f-613ec0042c6d	ProfileBE	ProfileBE		BE	UFIDA.U9.Base.BaseBE
d1d6fb56-2d0b-46be-9ee0-3ac4e7b174c0	ProfileSendPathBE	ProfileSendPathBE		BE	UFIDA.U9.Base.BaseBE
3b2b5523-8c40-4d0c-8d6d-2d2e8236c4c5	RefrenceEntityDescBE	RefrenceEntityDescBE		BE	UFIDA.U9.Base.BaseBE
12cc3c58-c241-414a-be8d-41ab6d289d20	SequenceBE	SequenceBE		BE	UFIDA.U9.Base.BaseBE
0e0cdd1f-801c-4c7e-accc-120461899054	SequenceDefBE	SequenceDefBE		BE	UFIDA.U9.Base.BaseBE
071d9363-8a8b-45fa-b938-b661f778a850	SOBBE	SOBBE		BE	UFIDA.U9.Base.BaseBE
9e6a061b-3312-40cc-be84-b399f2376cb1	SOBProfile	SOBProfile		BE	UFIDA.U9.Base.BaseBE
1c5ef71c-1c96-4e63-b3a3-99461717ffb8	SOBVersionStart	SOBVersionStart		BE	UFIDA.U9.Base.BaseBE
527464fa-66d4-4448-b1b3-d1e347972c50	MultiTreeBE	MultiTreeBE		BE	UFIDA.U9.Base.BaseBE
2d200623-a966-4b1c-90ef-bf193ac75dfc	TreeEntityBE	TreeEntityBE		BE	UFIDA.U9.Base.BaseBE
8104d1b2-d1c1-48a9-bcfb-b5ef838b7db4	ConvertRatioBE	ConvertRatioBE		BE	UFIDA.U9.Base.BaseBE
bea15438-f1d4-4f35-a71c-ac1913fc3c5a	UOMBE	UOMBE		BE	UFIDA.U9.Base.BaseBE
11c2a5c7-3666-4d51-a74b-daa69ab2445e	RoleBE	RoleBE		BE	UFIDA.U9.Base.BaseBE
20fe21b8-920d-43b7-9e3a-321ca0322734	UserBE	UserBE		BE	UFIDA.U9.Base.BaseBE
272b3ec1-721f-419f-9d71-359b161699f9	UserGroupBE	UserGroupBE		BE	UFIDA.U9.Base.BaseBE
24be912e-2ae5-4d27-9f6b-9cda03237526	UserGroupRoleBE	UserGroupRoleBE		BE	UFIDA.U9.Base.BaseBE
31152754-721a-481d-b690-a419121b5e64	UserOrgBE	UserOrgBE		BE	UFIDA.U9.Base.BaseBE
245b2989-1eef-42b1-a306-2ab8839e6a77	UserOrgRoleBE	UserOrgRoleBE		BE	UFIDA.U9.Base.BaseBE
4620c345-e1a1-4b77-b6dd-2f7e8c00788b	ShiftBE	ShiftBE		BE	UFIDA.U9.Base.BaseBE
9b2526ab-7cab-4822-ba99-853cb1027d55	WorkCalendarBE	WorkCalendarBE		BE	UFIDA.U9.Base.BaseBE
eaeda65c-38f2-47e0-ad11-4c887de04e20	WorkCalendarDefBE	WorkCalendarDefBE		BE	UFIDA.U9.Base.BaseBE
3eaba416-d624-4a4c-bc88-463cd7966770	AccountCalendarBP	AccountCalendarBP		BP	UFIDA.U9.Base.BaseBP
f06fdd5d-9fee-4365-a3a7-2e134cbbfca8	GetApplicationBP	GetApplicationBP		BP	UFIDA.U9.Base.BaseBP
7b865c71-dee7-4ac7-acbc-bd67025d8191	PortalOrgBP	PortalOrgBP		BP	UFIDA.U9.Base.BaseBP
2acf6e6e-3c2b-4036-b884-6d8afdebfa82	ContactBP	ContactBP		BP	UFIDA.U9.Base.BaseBP
262bee5a-0ce7-4e33-98bc-90d98edb21ba	CurrencyBP	CurrencyBP		BP	UFIDA.U9.Base.BaseBP
ccd8d6e7-23f1-42f4-b11b-848fb0a17954	DocBP	DocBP		BP	UFIDA.U9.Base.BaseBP
764fffb4-e1dc-4eb4-9c89-d00922a6abda	PushToDocTypeBP	PushToDocTypeBP		BP	UFIDA.U9.Base.BaseBP
a39d637d-8938-45af-a853-eca6e5647445	ExpressionHelper	ExpressionHelper		BP	UFIDA.U9.Base.BaseBP
fa2f3ce2-5ce3-4c6b-bfc0-73d159af21fc	DescFlexFieldBP	DescFlexFieldBP		BP	UFIDA.U9.Base.BaseBP
22a816e8-fcc7-445f-9fa8-d61912b8291b	KeyFlexFieldBP	KeyFlexFieldBP		BP	UFIDA.U9.Base.BaseBP
c0659fbb-c42c-42c4-9bce-3c7872329529	ValueSetBP	ValueSetBP		BP	UFIDA.U9.Base.BaseBP
a336657c-915e-4af6-a051-675facae87ed	HoldReleaseBP	HoldReleaseBP		BP	UFIDA.U9.Base.BaseBP
d29324c5-4cc8-4062-9786-5bbfe20b9a8b	LanguageBP	LanguageBP		BP	UFIDA.U9.Base.BaseBP
4b330853-19aa-40be-b69a-838ba578ecef	Location	Location		BP	UFIDA.U9.Base.BaseBP
2b1cad38-cb8f-4eee-846e-bbc51b36925a	OrgBP	OrgBP		BP	UFIDA.U9.Base.BaseBP
62e1a8f0-8b45-4300-a0de-b1330a22c001	Performance	Performance		BP	UFIDA.U9.Base.BaseBP
6a2166c0-9f8a-4e25-97c7-5342b4b20426	PersonizationBP	PersonizationBP		BP	UFIDA.U9.Base.BaseBP
8597eb53-929d-4555-85dc-1945a9fc41b2	ProfileBP	ProfileBP		BP	UFIDA.U9.Base.BaseBP
68382a4e-9080-4257-b4c8-fa840ff5a2d5	RefrenceEntityDescBP	RefrenceEntityDescBP		BP	UFIDA.U9.Base.BaseBP
4a02d310-fc8a-41b6-9a83-0e0593ed956d	ReportBP	ReportBP		BP	UFIDA.U9.Base.BaseBP
